year,month_num,month_name,actual_mean_temp,actual_min_temp,actual_max_temp,average_min_temp,average_max_temp,record_min_temp,record_max_temp,record_precipitation,actual_precipitation,average_precipitation,city,state,shortcode
2015,6,June,70.83333333333333,62.0,79.13333333333334,60.36666666666667,78.13333333333334,46,112,0.76,0.01,0.09,Los Angeles,California,CQT
2014,1,January,41.46739130434783,33.67391304347826,48.68478260869565,34.77173913043478,52.19565217391305,-23,91,4.3,8.52,9.99,Indianapolis,Indiana,IND
2014,7,July,70.41935483870968,60.903225806451616,79.29032258064517,66.0,84.93548387096774,46,106,5.09,3.1,4.55,Indianapolis,Indiana,IND
2014,8,August,74.06451612903226,65.03225806451613,82.64516129032258,64.35483870967742,83.87096774193549,41,103,4.46,2.95,3.13,Indianapolis,Indiana,IND
2014,9,September,65.7,55.266666666666666,75.56666666666666,56.266666666666666,77.63333333333334,30,100,7.2,2.5300000000000002,3.12,Indianapolis,Indiana,IND
2015,1,January,25.516129032258064,16.806451612903224,33.70967741935484,20.451612903225808,35.54838709677419,-27,71,3.81,1.81,2.66,Indianapolis,Indiana,IND
2015,2,February,20.392857142857142,10.964285714285714,29.464285714285715,23.928571428571427,40.25,-21,76,3.02,1.34,2.32,Indianapolis,Indiana,IND
2015,3,March,39.516129032258064,29.774193548387096,48.67741935483871,32.87096774193548,51.774193548387096,-7,85,4.7,3.53,3.56,Indianapolis,Indiana,IND
2015,4,April,54.766666666666666,44.06666666666667,64.83333333333333,42.833333333333336,63.43333333333333,18,90,3.06,4.0,3.81,Indianapolis,Indiana,IND
2015,5,May,67.03225806451613,57.03225806451613,76.58064516129032,52.70967741935484,72.80645161290323,28,96,3.8,2.45,5.05,Indianapolis,Indiana,IND
2015,6,June,72.83333333333333,63.9,81.23333333333333,62.13333333333333,81.96666666666667,37,104,3.8,8.36,4.25,Indianapolis,Indiana,IND
2014,1,January,61.869565217391305,50.01086956521739,73.31521739130434,51.81521739130435,73.56521739130434,11,95,9.21,9.57,8.84,Jacksonville,Florida,JAX
2014,7,July,81.87096774193549,72.19354838709677,90.87096774193549,72.6774193548387,91.93548387096774,61,104,7.26,2.75,6.55,Jacksonville,Florida,JAX
2014,8,August,82.29032258064517,72.54838709677419,91.7741935483871,72.7741935483871,90.96774193548387,63,102,7.82,3.03,6.8,Jacksonville,Florida,JAX
2014,9,September,78.03333333333333,69.83333333333333,85.6,69.6,86.93333333333334,48,99,9.82,9.8,8.19,Jacksonville,Florida,JAX
2015,1,January,53.45161290322581,42.516129032258064,63.774193548387096,41.354838709677416,64.80645161290323,7,85,3.43,3.08,3.31,Jacksonville,Florida,JAX
